Sample,samp_date,E/O,Block,Species,Length,Weight (g),Sex,N
PAP20200819-09,19.08.2020,Edge,5,Callinectes sapidus,12,0.2,,1
PAP20200819-10,19.08.2020,Off,5,Callinectes sapidus,18,0.3,,1
PAP20200819-10,19.08.2020,Off,5,Callinectes sapidus,19,0.4,,1
PAP20200819-10,19.08.2020,Off,5,Callinectes sapidus,13,0.1,,1
PAP20200819-10,19.08.2020,Off,5,Callinectes sapidus,16,0.3,,1
PAP20200828-05,28.08.2020,Edge,3,Callinectes sapidus,13,0.3,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,21,0.8,M,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,21,0.7,M,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,18,0.5,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,15,0.4,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,14,0.3,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,13,0.4,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,14,0.4,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,8,0.1,,1
PAP20200828-07,28.08.2020,Edge,4,Callinectes sapidus,6,,,1
PAP20200828-08,28.08.2020,Off,4,Callinectes sapidus,18,0.6,,1
PAP20200828-09,28.08.2020,Edge,5,Callinectes sapidus,28,1.6,M,1
PAP20200828-09,28.08.2020,Edge,5,Callinectes sapidus,19,0.9,,1
PAP20200828-09,28.08.2020,Edge,5,Callinectes sapidus,25,1.2,F,1
PAP20200828-09,28.08.2020,Edge,5,Callinectes sapidus,13,0.3,,1
PAP20200828-10,28.08.2020,Off,5,Callinectes sapidus,14,0.3,,1
PAP20200903-03,03.09.2020,Edge,2,Callinectes sapidus,200,,,1
PAP20200903-04,03.09.2020,Off,2,Callinectes sapidus,15,0.5,,1
PAP20200903-04,03.09.2020,Off,2,Callinectes sapidus,16,0.3,,1
PAP20200903-05,03.09.2020,Edge,3,Callinectes sapidus,28,1.5,,1
PAP20200903-07,03.09.2020,Edge,4,Callinectes sapidus,21,0.4,,1
PAP20200903-08,03.09.2020,Off,4,Callinectes sapidus,188,,,1
PAP20200903-09,03.09.2020,Edge,5,Callinectes sapidus,41,4.3,M,1
PAP20200903-09,03.09.2020,Edge,5,Callinectes sapidus,30,1.4,,1
PAP20200903-09,03.09.2020,Edge,5,Callinectes sapidus,14,0.3,,1
PAP20200903-09,03.09.2020,Edge,5,Callinectes sapidus,14,0.3,,1
PAP20200903-10,03.09.2020,Off,5,Callinectes sapidus,15,0.4,,1
PAP20200910-03,10.09.2020,Edge,2,Callinectes sapidus,13,0.3,,1
PAP20200910-05,10.09.2020,Edge,3,Callinectes sapidus,16,0.3,,1
PAP20200910-05,10.09.2020,Edge,3,Callinectes sapidus,18,0.4,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,24,0.8,F,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,20,0.5,M,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,18,0.6,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,16,0.4,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,15,0.4,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,18,0.4,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,18,0.4,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,16,0.3,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,15,0.3,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,15,0.3,,1
PAP20200910-07,10.09.2020,Edge,4,Callinectes sapidus,10,0.1,,1
PAP20200910-09,10.09.2020,Edge,5,Callinectes sapidus,14,0.4,,1
PAP20200910-10,10.09.2020,Off,5,Callinectes sapidus,20,0.9,M,1
PAP20200910-10,10.09.2020,Off,5,Callinectes sapidus,19,0.6,,1
PAP20200910-10,10.09.2020,Off,5,Callinectes sapidus,18,0.6,,1
PAP20200910-10,10.09.2020,Off,5,Callinectes sapidus,19,0.7,,1
PAP20200910-10,10.09.2020,Off,5,Callinectes sapidus,9,0.1,,1
PAP20200910-10,10.09.2020,Off,5,Callinectes sapidus,10,0.1,,1
PAP20200925-09,25.09.2020,Edge,5,Callinectes sapidus,22,1,F,1
PAP20200925-09,25.09.2020,Edge,5,Callinectes sapidus,24,0.9,M,1
PAP20200925-10,25.09.2020,Off,5,Callinectes sapidus,21,0.8,M,1
PAP20200930-05,30.09.2020,Edge,3,Callinectes sapidus,13,0.3,,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,105,,F,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,24,1.3,F,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,17,0.5,,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,16,0.4,,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,12,0.2,,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,8,0.1,,1
PAP20200930-07,30.09.2020,Edge,4,Callinectes sapidus,7,0.1,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,17,0.4,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,13,0.2,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,16,0.4,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,11,0.2,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,13,0.2,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,9,0.1,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,4,,,1
PAP20200930-09,30.09.2020,Edge,5,Callinectes sapidus,3,,,1
PAP20200930-10,30.09.2020,Off,5,Callinectes sapidus,17,0.4,,1
PAP20200930-10,30.09.2020,Off,5,Callinectes sapidus,18,0.4,,1
PAP20200930-10,30.09.2020,Off,5,Callinectes sapidus,15,0.4,,1
PAP20200930-10,30.09.2020,Off,5,Callinectes sapidus,16,0.4,,1
PAP20200930-10,30.09.2020,Off,5,Callinectes sapidus,14,0.3,,1
PAP20201007-05,07.10.2020,Edge,3,Callinectes sapidus,13,0.3,,1
PAP20201007-07,07.10.2020,Edge,4,Callinectes sapidus,24,1.2,M,1
PAP20201007-07,07.10.2020,Edge,4,Callinectes sapidus,15,0.3,,1
PAP20201007-07,07.10.2020,Edge,4,Callinectes sapidus,12,0.2,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,110,,M,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,32,2.9,M,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,26,2.2,F,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,26,1.4,M,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,18,0.4,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,15,0.5,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,19,0.7,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,15,0.4,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,13,0.3,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,19,0.6,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,15,0.3,,1
PAP20201007-09,07.10.2020,Edge,5,Callinectes sapidus,14,0.4,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,20,0.6,M,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,23,0.8,M,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,16,0.6,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,16,0.5,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,13,0.2,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,16,0.5,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,15,0.4,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,16,0.5,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,14,0.4,,1
PAP20201007-10,07.10.2020,Off,5,Callinectes sapidus,13,0.3,,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,123,,M,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,109,,F,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,28,1.9,M,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,18,0.7,,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,17,0.6,,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,16,0.4,,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,14,0.3,,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,12,0.2,,1
PAP20201015-03,15.10.2020,Edge,2,Callinectes sapidus,10,0.2,,1
PAP20201015-07,15.10.2020,Edge,4,Callinectes sapidus,163,,F,1
PAP20201015-07,15.10.2020,Edge,4,Callinectes sapidus,16,0.5,,1
PAP20201015-07,15.10.2020,Edge,4,Callinectes sapidus,14,0.4,,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,147,,F,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,84,30.9,F,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,18,0.6,,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,42,6.1,F,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,22,0.9,F,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,22,0.8,F,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,20,0.8,F,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,12,0.4,,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,15,0.4,,1
PAP20201015-09,15.10.2020,Edge,5,Callinectes sapidus,13,0.2,,1
PAP20201015-10,15.10.2020,Off,5,Callinectes sapidus,12,0.3,,1
PAP20201015-10,15.10.2020,Off,5,Callinectes sapidus,20,0.5,F,1
PAP20201020-03,20.10.2020,Edge,2,Callinectes sapidus,22,1,F,1
PAP20201020-03,20.10.2020,Edge,2,Callinectes sapidus,25,1.1,M,1
PAP20201020-03,20.10.2020,Edge,2,Callinectes sapidus,13,0.3,,1
PAP20201020-04,20.10.2020,Off,2,Callinectes sapidus,16,0.7,,1
PAP20201020-04,20.10.2020,Off,2,Callinectes sapidus,16,0.6,,1
PAP20201020-05,20.10.2020,Edge,3,Callinectes sapidus,24,1,M,1
PAP20201020-05,20.10.2020,Edge,3,Callinectes sapidus,19,0.5,,1
PAP20201020-05,20.10.2020,Edge,3,Callinectes sapidus,15,0.4,,1
PAP20201020-05,20.10.2020,Edge,3,Callinectes sapidus,17,0.4,,1
PAP20201020-06,20.10.2020,Off,3,Callinectes sapidus,141,,F,1
PAP20201020-07,20.10.2020,Edge,4,Callinectes sapidus,19,0.5,,1
PAP20201020-07,20.10.2020,Edge,4,Callinectes sapidus,17,0.4,,1
PAP20201020-07,20.10.2020,Edge,4,Callinectes sapidus,16,0.4,,1
PAP20201020-09,20.10.2020,Edge,5,Callinectes sapidus,17,0.5,,1
PAP20201020-09,20.10.2020,Edge,5,Callinectes sapidus,16,0.5,,1
PAP20201020-09,20.10.2020,Edge,5,Callinectes sapidus,13,0.2,,1
PAP20201105-01,05.11.2020,Edge,1,Callinectes sapidus,15,0.2,,1
PAP20201105-03,05.11.2020,Edge,2,Callinectes sapidus,164,,F,1
PAP20201105-06,05.11.2020,Off,3,Callinectes sapidus,19,0.4,,1
PAP20201105-07,05.11.2020,Edge,4,Callinectes sapidus,57,13.9,F,1
PAP20201105-09,05.11.2020,Edge,5,Callinectes sapidus,20,0.7,M,1
PAP20201105-09,05.11.2020,Edge,5,Callinectes sapidus,16,0.4,,1
PAP20201105-09,05.11.2020,Edge,5,Callinectes sapidus,15,0.3,,1
PAP20201105-09,05.11.2020,Edge,5,Callinectes sapidus,10,0.1,,1
PAP20201105-10,05.11.2020,Off,5,Callinectes sapidus,19,0.7,,1
PAP20201105-10,05.11.2020,Off,5,Callinectes sapidus,4,0.1,,1
PAP20201105-10,05.11.2020,Off,5,Callinectes sapidus,11,0.2,,1
PAP20201112-03,12.11.2020,Edge,2,Callinectes sapidus,151,,F,1
PAP20201112-07,12.11.2020,Edge,4,Callinectes sapidus,34,3.4,F,1
PAP20201112-09,12.11.2020,Edge,5,Callinectes sapidus,15,0.3,,1
