Sample,samp_date,E.O,Block,Species,Length,Weight,N
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,39,0.7,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,,,4
PAP20200630-10,30.06.2020,Off,5,Bairdiella chrysoura,60,2.2,1
PAP20200630-10,30.06.2020,Off,5,Bairdiella chrysoura,45,0.9,1
PAP20200630-10,30.06.2020,Off,5,Bairdiella chrysoura,40,0.7,1
PAP20200708-01,08.07.2020,Edge,2,Bairdiella chrysoura,41,0.9,1
PAP20200708-01,08.07.2020,Edge,2,Bairdiella chrysoura,52,1.5,1
PAP20200708-01,08.07.2020,Edge,2,Bairdiella chrysoura,39,0.7,1
PAP20200708-01,08.07.2020,Edge,2,Bairdiella chrysoura,35,0.5,1
PAP20200708-01,08.07.2020,Edge,2,Bairdiella chrysoura,33,0.5,1
PAP20200708-01,08.07.2020,Edge,2,Bairdiella chrysoura,38,0.6,1
PAP20200708-03,08.07.2020,Edge,3,Bairdiella chrysoura,49,1.4,1
PAP20200708-03,08.07.2020,Edge,3,Bairdiella chrysoura,59,2.2,1
PAP20200708-03,08.07.2020,Edge,3,Bairdiella chrysoura,47,1.3,1
PAP20200708-03,08.07.2020,Edge,3,Bairdiella chrysoura,48,1.3,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,45,1.2,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,39,0.6,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,43,0.9,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,39,0.7,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,45,1,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,42,0.9,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,40,0.9,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,36,0.6,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,40,0.7,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,50,1.5,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,60,2.2,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,44,1,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,45,1.2,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,43,0.8,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,43,0.9,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,41,0.8,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,42,0.9,1
PAP20200708-04,08.07.2020,Off,3,Bairdiella chrysoura,45,1.1,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,39,0.7,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,57,2.1,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,61,2.6,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,47,1.3,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,59,2.3,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,44,1.1,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,41,0.8,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,46,1.1,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,79,5.5,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,55,1.9,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,49,1.4,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,36,0.6,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,48,1.3,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,64,2.8,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,30,0.4,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,59,2.4,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,54,1.9,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,44,1,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,49,1.3,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,64,2.9,1
PAP20200708-05,08.07.2020,Edge,4,Bairdiella chrysoura,,,22
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,48,1.3,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,156,40,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,44,1,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,44,0.9,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,40,0.9,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,36,0.7,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,40,0.8,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,36,0.6,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,39,0.7,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,47,1.1,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,47,1.2,1
PAP20200708-06,08.07.2020,Off,4,Bairdiella chrysoura,48,1.3,1
PAP20200708-07,08.07.2020,Edge,5,Bairdiella chrysoura,43,0.9,1
PAP20200708-08,08.07.2020,Off,5,Bairdiella chrysoura,38,0.6,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,56,2.1,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,56,2.1,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,42,1,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,42,0.9,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,64,3,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,53,1.7,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,55,1.9,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,39,0.7,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,40,0.7,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,42,0.8,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,55,2,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,56,1.5,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,45,1,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,39,0.7,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,40,0.8,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,40,0.6,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,42,0.9,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,39,0.8,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,41,1,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,35,0.5,1
PAP20200714-03,14.07.2020,Edge,2,Bairdiella chrysoura,,,4
PAP20200714-05,14.07.2020,Edge,3,Bairdiella chrysoura,65,3.4,1
PAP20200714-05,14.07.2020,Edge,3,Bairdiella chrysoura,74,4.5,1
PAP20200714-05,14.07.2020,Edge,3,Bairdiella chrysoura,37,0.6,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,73,4.8,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,71,3.9,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,58,2.5,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,50,1.6,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,47,1.3,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,42,0.9,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,44,1,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,45,1,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,40,0.6,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,40,0.7,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,40,0.7,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,37,0.6,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,42,0.8,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,45,1,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,43,0.9,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,56,2.1,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,57,2.3,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,58,2.3,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,52,1.9,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,40,1.4,1
PAP20200714-06,14.07.2020,Off,3,Bairdiella chrysoura,,,3
PAP20200714-07,14.07.2020,Edge,4,Bairdiella chrysoura,33,0.5,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,86,6.9,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,72,5.4,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,53,1.8,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,63,2.9,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,40,0.8,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,51,1.6,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,38,0.7,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,45,1.2,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,56,2.2,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,51,1.6,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,52,1.6,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,44,1,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,73,4,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,46,1.3,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,41,0.7,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,42,0.9,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,38,0.7,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,40,0.8,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,38,0.6,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,49,1.6,1
PAP20200714-08,14.07.2020,Off,4,Bairdiella chrysoura,,,26
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,49,1.5,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,44,0.9,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,47,1.3,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,44,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,43,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,45,1.2,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,45,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,44,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,43,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,43,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,39,0.8,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,45,1,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,43,0.8,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,41,0.9,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,40,0.8,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,42,0.9,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,41,0.8,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,43,0.9,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,43,0.9,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,40,0.8,1
PAP20200721-03,21.07.2020,Edge,2,Bairdiella chrysoura,,,1
PAP20200721-04,21.07.2020,Off,2,Bairdiella chrysoura,43,0.8,1
PAP20200721-04,21.07.2020,Off,2,Bairdiella chrysoura,40,0.7,1
PAP20200721-04,21.07.2020,Off,2,Bairdiella chrysoura,42,0.8,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,47,1.1,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,40,0.8,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,39,0.6,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,50,1.5,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,49,1.5,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,48,1.3,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,48,1.4,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,49,1.5,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,47,1.4,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,44,1,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,47,1.2,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,44,1,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,39,0.7,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,40,0.8,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,45,1,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,46,1.3,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,42,0.8,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,44,1,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,45,1.1,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,40,0.9,1
PAP20200721-06,21.07.2020,Off,3,Bairdiella chrysoura,,,8
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,95,10.7,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,89,8.2,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,45,10,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,92,9.4,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,55,2.1,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,42,0.8,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,45,1.2,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,40,0.8,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,43,0.8,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,35,0.5,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,39,0.7,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,48,1.2,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,43,0.8,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,40,0.7,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,38,0.7,1
PAP20200721-07,21.07.2020,Edge,4,Bairdiella chrysoura,35,0.5,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,41,0.8,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,60,2.7,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,50,1.5,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,50,1.4,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,49,1.5,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,63,3.1,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,57,2,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,52,1.7,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,55,1.9,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,65,3.5,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,64,3.3,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,51,1.7,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,60,2.4,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,53,1.8,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,54,1.7,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,54,1.7,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,65,3.4,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,52,1.2,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,50,1.4,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,50,0.8,1
PAP20200721-08,21.07.2020,Off,4,Bairdiella chrysoura,,,28
PAP20200731-04,31.07.2020,Off,2,Bairdiella chrysoura,42,0.9,1
PAP20200731-05,31.07.2020,Edge,3,Bairdiella chrysoura,52,1.5,1
PAP20200731-05,31.07.2020,Edge,3,Bairdiella chrysoura,44,1.3,1
PAP20200731-05,31.07.2020,Edge,3,Bairdiella chrysoura,39,0.9,1
PAP20200731-05,31.07.2020,Edge,3,Bairdiella chrysoura,41,0.9,1
PAP20200731-05,31.07.2020,Edge,3,Bairdiella chrysoura,37,0.6,1
PAP20200731-06,31.07.2020,Off,3,Bairdiella chrysoura,175,,1
PAP20200731-06,31.07.2020,Off,3,Bairdiella chrysoura,50,1.4,1
PAP20200731-06,31.07.2020,Off,3,Bairdiella chrysoura,44,1.1,1
PAP20200731-06,31.07.2020,Off,3,Bairdiella chrysoura,34,0.4,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,45,1,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,48,1.2,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,41,0.8,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,55,1.9,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,52,1.5,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,52,1.5,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,49,1.3,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,53,1.7,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,48,1.4,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,45,1,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,56,1.8,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,52,1.5,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,49,1.4,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,49,1.3,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,57,2.1,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,48,1.3,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,47,1.1,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,49,1.3,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,45,1,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,48,1.4,1
PAP20200731-08,31.07.2020,Off,4,Bairdiella chrysoura,,,12
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,60,2.6,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,63,2.3,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,52,1.4,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,47,1.2,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,49,1.3,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,57,1.9,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,58,1.9,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,39,0.8,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,46,1.1,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,53,1.7,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,49,1.3,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,50,1.5,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,52,1.4,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,42,0.9,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,37,0.7,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,46,1.2,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,34,0.5,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,43,0.9,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,39,0.6,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,40,0.7,1
PAP20200806-03,06.08.2020,Edge,2,Bairdiella chrysoura,,,8
PAP20200806-05,06.08.2020,Edge,3,Bairdiella chrysoura,64,2.8,1
PAP20200806-05,06.08.2020,Edge,3,Bairdiella chrysoura,65,2.9,1
