Sample,samp_date,E.O,Block,Species,Length,Weight,N
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,8,0.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,10,0.6,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,8,0.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,7,0.4,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,11,1,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,9,0.8,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,8,0.5,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,11,1.1,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,10,0.7,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,10,0.9,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,9,0.8,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,9,0.7,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,11,1,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,12,1,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,11,0.9,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,9,0.6,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,9,0.8,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,8,0.5,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,12,1.3,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,13,1.8,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,12,1.6,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,10,0.7,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,10,0.7,1
PAP20200630-07,30.06.2020,Edge,4,Litopenaeus setiferus,6,0.3,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,7,0.7,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,9,0.6,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,12,2.1,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,10,0.9,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,9,0.4,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,10,0.5,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,10,0.8,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,9,0.5,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,8,0.4,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,8,0.4,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,9,0.7,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,9,0.4,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,7,0.3,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,6,0.2,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,7,0.3,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,7,0.2,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,7,0.3,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,6,0.2,1
PAP20200630-08,30.06.2020,Off,4,Litopenaeus setiferus,7,0.3,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,9,0.4,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,7,0.4,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,8,0.6,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,7,0.2,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,8,0.4,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,7,0.3,1
PAP20200630-10,30.06.2020,Off,5,Litopenaeus setiferus,9,0.5,1
PAP20200630-11,30.06.2020,Edge,5,Litopenaeus setiferus,19,5.2,1
PAP20200630-11,30.06.2020,Edge,5,Litopenaeus setiferus,21,5.8,1
PAP20200630-11,30.06.2020,Edge,5,Litopenaeus setiferus,15,2.4,1
PAP20200630-11,30.06.2020,Edge,5,Litopenaeus setiferus,7,0.2,1
PAP20200630-11,30.06.2020,Edge,5,Litopenaeus setiferus,7,0.2,1
PAP20200630-11,30.06.2020,Edge,5,Litopenaeus setiferus,5,0.1,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,13,1.6,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,15,2.7,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,12,2.4,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,10,0.8,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,9,0.8,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1.2,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,9,0.8,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,12,1.2,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,8,0.7,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1.3,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,12,2.1,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,10,1.1,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1.2,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,7,0.3,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,10,1.2,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,12,1.4,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1.2,1
PAP20200708-01,08.07.2020,Edge,2,Litopenaeus setiferus,11,1.1,1
PAP20200708-02,08.07.2020,Off,2,Litopenaeus setiferus,11,1.2,1
PAP20200708-02,08.07.2020,Off,2,Litopenaeus setiferus,8,0.7,1
PAP20200708-02,08.07.2020,Off,2,Litopenaeus setiferus,11,1.1,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,11,1.2,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,14,2.4,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,11,1.3,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,12,1.6,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,7,0.6,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,8,0.7,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,9,0.9,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,12,1.5,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,7,0.6,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,5,0.2,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,11,1.7,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,8,0.6,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,8,0.9,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,10,1.1,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,12,1.7,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,10,0.8,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,10,1,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,8,0.7,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,9,1.1,1
PAP20200708-03,08.07.2020,Edge,3,Litopenaeus setiferus,10,1.4,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,6,0.2,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,8,0.7,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,11,1.1,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,9,0.6,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,6,0.2,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,11,0.8,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,7,0.2,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,9,0.6,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,9,0.5,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,10,0.9,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,7,0.4,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,8,0.4,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,9,0.8,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,7,0.2,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,12,1.3,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,9,0.9,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,10,1,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,6,0.3,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,6,0.2,1
PAP20200708-04,08.07.2020,Off,3,Litopenaeus setiferus,9,0.6,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,23,9.3,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,19,5.5,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,11,1,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,9,0.7,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,9,0.6,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,15,3.3,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,10,0.7,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,14,3,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,6,0.3,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,6,0.4,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,7,0.5,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,7,0.5,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,7,0.8,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,9,1,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,7,0.4,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,6,0.4,1
PAP20200708-05,08.07.2020,Edge,4,Litopenaeus setiferus,8,0.7,1
PAP20200708-06,08.07.2020,Off,4,Litopenaeus setiferus,8,0.4,1
PAP20200708-06,08.07.2020,Off,4,Litopenaeus setiferus,7,0.4,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,11,1.4,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,16,3.2,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,10,1.1,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,9,1.2,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,18,6,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,16,4.1,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,12,1.8,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,11,0.7,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,9,0.7,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,8,0.8,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,9,0.7,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,9,0.8,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,10,0.8,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,10,1,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,8,0.6,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,11,1.2,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,8,0.4,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,8,0.7,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,9,0.9,1
PAP20200708-07,08.07.2020,Edge,5,Litopenaeus setiferus,6,0.5,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,7,0.4,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,7,0.3,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,5,0.2,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,6,0.2,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,6,0.3,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.4,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.5,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,11,1.3,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.4,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.5,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,9,0.7,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.6,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.8,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,7,0.3,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,7,0.4,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.6,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,6,0.3,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,6,0.4,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,7,0.2,1
PAP20200708-08,08.07.2020,Off,5,Litopenaeus setiferus,8,0.3,1
PAP20200714-01,14.07.2020,Edge,1,Litopenaeus setiferus,12,1.5,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,13,2.1,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,10,0.9,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,20,5.3,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,11,1,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,15,2.1,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,7,0.4,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,11,1,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,13,1.7,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,11,1.5,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,16,2.7,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,11,1.3,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,11,1.1,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,14,1.8,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,13,2.5,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,12,1.1,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,11,1.5,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,12,1.4,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,12,1.3,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,15,2.3,1
PAP20200714-03,14.07.2020,Edge,2,Litopenaeus setiferus,10,1.2,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,11,1.4,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,12,2.6,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,13,2.7,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,13,1.9,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,10,1.2,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,16,3.3,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,13,2.5,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,11,1.7,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,12,2.2,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,12,1.5,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,11,2.3,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,12,1.7,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,12,1.7,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,17,4.3,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,11,1.1,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,9,1.3,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,12,1.8,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,13,1.9,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,11,1.5,1
PAP20200714-05,14.07.2020,Edge,3,Litopenaeus setiferus,14,2.3,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,10,0.8,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,11,1.4,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,10,0.9,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,12,1.5,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,9,1,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,10,1.2,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,11,1.8,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,11,1.5,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,13,1.6,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,12,1.1,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,8,0.6,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,11,1.4,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,10,1.2,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,7,0.6,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,9,1.1,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,10,1,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,7,0.4,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,8,0.8,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,12,2.2,1
PAP20200714-06,14.07.2020,Off,3,Litopenaeus setiferus,11,1.2,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,17,4.1,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,20,5.1,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,18,4.3,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,15,1.9,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,13,2.4,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,11,1.2,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,12,1.3,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,11,0.9,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,16,2.5,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,13,1.9,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,13,1.5,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,11,0.7,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,14,2.9,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,17,5,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,14,2.2,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,11,1.4,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,12,1.9,1
PAP20200714-07,14.07.2020,Edge,4,Litopenaeus setiferus,13,1.9,1
